field_id,crop,profit
F1,Brinjal,14600979.860711085
F1,Coconut,1230308625.0
F1,Grapes,1068403718.75
F1,Mango,1679730062.5
F1,Onion,217161.76262423757
F1,Potato,66626155.98963813
F1,Tapioca,7779750.0
F1,Tomato,118535251.97102514
F1,Turmeric,58290000.0
F1,Groundnut,287185682.5
F1,Maize,134852124.33565533
F1,Rice,216634757.24260503
F1,Groundnut,5380854.166666666
F1,Maize,1225165.5353457173
F1,Rice,154949.85714285713
F1,Maize,3440533.3526831786
F1,Rice,32621502.27731092
F1,Banana,490612456.5331825
F1,Coconut,12216170216.25
F1,Onion,1413767.3934108526
F1,Potato,71640822.13996424
F1,Tapioca,8092375.0
F1,Turmeric,2386875.0
F1,Groundnut,137370041.66666666
F1,Maize,210823576.25344
F1,Onion,1852522.791365945
F1,Potato,4185268.440984641
F1,Rice,202173104.7815126
F1,Groundnut,1278744.1666666665
F1,Maize,2780398.498022016
F1,Onion,735690.8692984375
F1,Potato,55671726.24395119
F1,Rice,364587.8991596638
F1,Maize,6399951.472308222
F1,Onion,367845.43464921875
F1,Potato,4430897.762597307
F1,Rice,59345795.285714276
F1,Banana,443078656.08295625
F1,Coconut,1176527625.0
F1,Garlic,163067.0955882353
F1,Tapioca,374125.0
F1,Turmeric,4020000.0
F1,Groundnut,51833451.666666664
F1,Maize,134158423.3019436
F1,Rice,135982171.68907562
F1,Groundnut,253216.66666666666
F1,Maize,2819559.0402476783
F1,Rice,273440.92436974787
F1,Maize,1846139.847781218
F1,Rice,4967510.126050419
F1,Banana,2434743975.3536954
F1,Coconut,1182994312.5
F1,Garlic,90592.83088235294
F1,Onion,1533427.956489514
F1,Potato,133603211.01015149
F1,Tapioca,112750.0
F1,Turmeric,5066875.0
F1,Groundnut,7811734.166666666
F1,Maize,216227731.08058137
F1,Onion,1320698.0665718936
F1,Potato,2418013.3218493583
F1,Rice,54031926.655462176
F1,Groundnut,607720.0
F1,Maize,2198584.7278121775
F1,Onion,296935.47134334524
F1,Potato,41214686.171891436
F1,Rice,319014.41176470584
F1,Maize,1532855.5099759202
F1,Onion,110796.81766542733
F1,Potato,8510896.494319377
F1,Rice,2779982.7310924367
F1,Banana,313958498.9690799
F1,Coconut,344457750.0
F1,Garlic,72474.26470588235
F1,Tapioca,225500.0
F1,Turmeric,2596250.0
F1,Groundnut,8849922.5
F1,Maize,270342006.07327145
F1,Onion,1515700.4656630459
F1,Potato,1154776.8106985062
F1,Rice,70670624.60941175
F1,Groundnut,215234.16666666666
F1,Maize,1499289.3309253526
F1,Onion,562847.8337403708
F1,Potato,52705034.43746055
F1,Rice,236982.13445378147
F1,Maize,2674105.597695219
F1,Onion,412164.16171538964
F1,Potato,8638496.141910372
F1,Rice,12086088.857142854
F1,Banana,240777229.09426847
F1,Coconut,470720250.0
F1,Garlic,126829.96323529411
F1,Tapioca,148625.0
F1,Turmeric,1214375.0
F1,Groundnut,3760267.5
F1,Maize,279790885.4760062
F1,Onion,1205469.3761998494
F1,Potato,2070304.2821638966
F1,Rice,61534963.32621848
F1,Groundnut,341842.5
F1,Maize,548247.5911592707
F1,Onion,576143.4518602222
F1,Potato,42659752.18085946
F1,Rice,63802.88235294117
F1,Maize,1683903.3157034745
F1,Onion,305799.2167565794
F1,Potato,8670396.053808121
F1,Rice,3873746.428571428
F1,Banana,365556903.75263953
F1,Coconut,546409500.0
F1,Garlic,144948.5294117647
F1,Tapioca,235750.0
F1,Turmeric,628125.0
F1,Groundnut,6368399.166666666
F1,Maize,298341793.7646199
F1,Onion,2047525.190457097
F1,Potato,2762532.3703450453
F1,Rice,40888532.890756294
F1,Groundnut,734328.3333333333
F1,Maize,2041942.558909529
F1,Onion,1333993.684691745
F1,Potato,86582740.87286977
F1,Wheat,88851.21986721143
F1,Maize,1997187.6535087721
F1,Onion,190570.526384535
F1,Potato,6622421.709972649
F1,Rice,4566463.436974789
F1,Banana,424456882.8363499
F1,Coconut,734472375.0
F1,Garlic,217422.79411764705
F1,Tapioca,281875.0
F1,Groundnut,6836850.0
F1,Maize,371102081.21990025
F1,Onion,1183310.0126667637
F1,Potato,4772226.819903219
F1,Rice,44078677.00840335
F1,Groundnut,291199.1666666666
F1,Maize,1806979.3055555557
F1,Onion,1480245.484010109
F1,Potato,57869630.173706084
F1,Wheat,44425.609933605716
F1,Maize,1829356.758255934
F1,Onion,110796.81766542733
F1,Potato,6903140.934672838
F1,Rice,4748757.386554621
F1,Banana,293479146.3665158
F1,Coconut,685127625.0
F1,Garlic,199304.22794117648
F1,Tapioca,486875.0
F1,Turmeric,628125.0
F1,Groundnut,3215851.6666666665
F1,Maize,185772017.95536637
F1,Onion,988307.6135756117
F1,Potato,4217168.35288239
F1,Rice,25484694.1512605
F1,Groundnut,1240761.6666666665
F1,Maize,1387402.0674234608
F1,Onion,203866.1445043863
F1,Potato,23497475.103881758
F1,Rice,18229.39495798319
F1,Maize,1269920.440746474
F1,Onion,252616.7442771743
F1,Potato,10849160.036424363
F1,Rice,373702.5966386554
F1,Coconut,579220687.5
F1,Garlic,18118.566176470587
F1,Tapioca,107625.0
F1,Turmeric,376875.0
F1,Groundnut,1304065.8333333333
F1,Maize,161850521.01866186
F1,Onion,877510.7959101844
F1,Potato,20125654.416289713
F1,Rice,20024990.361344535
F1,Maize,1918866.5690574476
F1,Onion,465346.63419479475
F1,Potato,18533848.81259205
F1,Groundnut,468450.8333333333
F1,Maize,1415373.8832989337
F1,Onion,6333146.097755826
F1,Potato,1030367.154297286
F1,Rice,4220104.932773109
F1,Coconut,376603500.0
F1,Garlic,18118.566176470587
F1,Tapioca,179375.0
F1,Turmeric,209375.0
F1,Groundnut,1962429.1666666665
F1,Maize,246521207.67371863
F1,Onion,1568882.938142451
F1,Potato,8619356.194771724
F1,Rice,19077061.823529407
F1,Maize,2399981.8021155833
F1,Onion,323526.7075830478
F1,Potato,21149641.58820745
F1,Groundnut,253216.66666666666
F1,Maize,1806979.3055555557
F1,Onion,128524.3084918957
F1,Potato,2842282.150089417
F1,Rice,1367204.6218487392
F1,Coconut,343348687.5
F1,Garlic,54355.69852941176
F1,Tapioca,276750.0
F1,Turmeric,251250.0
F1,Groundnut,736531318.3333333
F1,Maize,1014364336.5449777
F1,Rice,835608120.7815125
F1,Groundnut,70457537.5
F1,Maize,280294378.16176474
